Pclass,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Survived
1,Mr. William Harrison,male,40.0,0,0,0.0,0
3,Mr. Lalio Todoroff,male,23.0,0,0,7.8958,0
3,Mr. Neal McNamee,male,24.0,1,0,16.1,0
1,Don. Manuel E Uruchurtu,male,40.0,0,0,27.7208,0
1,Mr. William Baird Silvey,male,50.0,1,0,55.9,0
1,Mrs. Charles Melville (Clara Jennings Gregg) Hays,female,52.0,1,1,93.5,1
3,Master. Eric Rice,male,7.0,4,1,29.125,0
2,Mr. Frederick James Banfield,male,28.0,0,0,10.5,0
3,Mr. William Henry Tornquist,male,25.0,0,0,0.0,1
1,Mrs. William Baird (Alice Munger) Silvey,female,39.0,1,0,55.9,1
3,Mr. Matti Rintamaki,male,35.0,0,0,7.125,0
3,Mr. Houssein G N Hassan,male,11.0,0,0,18.7875,0
3,Mr. Malkolm Joackim Johnson,male,33.0,0,0,7.775,0
1,Mr. Albert Adrian Dick,male,31.0,1,0,57.0,1
3,Mr. Henry Jr Sutehall,male,25.0,0,0,7.05,0
3,Miss. Gerda Ulrika Dahlberg,female,22.0,0,0,10.5167,0
1,Miss. Bertha LeRoy,female,30.0,0,0,106.425,1
1,Miss. Mary Natalie Wick,female,31.0,0,2,164.8667,1
2,Mr. Masabumi Hosono,male,42.0,0,0,13.0,1
2,Mr. Moses Aaron Troupiansky,male,23.0,0,0,13.0,0
3,Mr. William Alexander,male,26.0,0,0,7.8875,0
1,Mrs. Thomas (Edith Wearne) Pears,female,22.0,1,0,66.6,1
1,Miss. Albina Bazzani,female,32.0,0,0,76.2917,1
3,Miss. Stella Anna Sage,female,21.0,8,2,69.55,0
2,Miss. Ethel Garside,female,34.0,0,0,13.0,1
3,Mr. Karl Edwart Dahl,male,45.0,0,0,8.05,1
2,Mr. Richard George Hocking,male,23.0,2,1,11.5,0
3,Mr. Ahmed Ali,male,24.0,0,0,7.05,0
1,Mr. William Anderson Walker,male,47.0,0,0,34.0208,0
2,Mrs. Albert Francis (Sylvia Mae Harbaugh) Caldwell,female,22.0,1,1,29.0,1
3,Miss. Annie Jermyn,female,22.0,0,0,7.75,1
1,Miss. Madeleine Newell,female,31.0,1,0,113.275,1
1,Mr. Jacques Heath Futrelle,male,37.0,1,0,53.1,0
3,Miss. Anna Peter,female,2.0,1,1,22.3583,1
1,Mrs. Frederick R (Marion) Kenyon,female,41.0,1,0,51.8625,1
3,Mr. Albert Johan Moss,male,29.0,0,0,7.775,1
1,Mr. Adolphe Saalfeld,male,47.0,0,0,30.5,1
3,Mr. Mansouer Novel,male,28.5,0,0,7.2292,0
1,Mr. Alexander Cairns,male,28.0,0,0,31.0,0
3,Miss. Mary Kelly,female,22.0,0,0,7.75,1
3,Miss. Malake Attalah,female,17.0,0,0,14.4583,0
3,Mr. Owen Harris Braund,male,22.0,1,0,7.25,0
1,Mr. Ervin G Lewy,male,30.0,0,0,27.7208,0
1,Mr. Karl Howell Behr,male,26.0,0,0,30.0,1
3,Mr. Jeremiah Burke,male,19.0,0,0,6.75,0
3,Mr. Peter L Lemberopolous,male,34.5,0,0,6.4375,0
3,Master. Meier Moor,male,6.0,0,1,12.475,1
1,Mr. William Fisher Hoyt,male,43.0,0,0,30.6958,0
1,Miss. Emily Borie Ryerson,female,18.0,2,2,262.375,1
3,Master. Juha Niilo Panula,male,7.0,4,1,39.6875,0
1,Miss. Amelia Bissette,female,35.0,0,0,135.6333,1
3,Mr. Gerious Youseff,male,45.5,0,0,7.225,0
2,Mrs. Frederick Charles (Jane Richards) Quick,female,33.0,0,2,26.0,1
3,Miss. Alice Phoebe Harknett,female,21.0,0,0,7.55,0
2,Mr. William Carbines,male,19.0,0,0,13.0,0
2,Mr. Edward H Wheadon,male,66.0,0,0,10.5,0
3,Mr. Johan Ekstrom,male,45.0,0,0,6.975,0
3,Master. Thomas Henry Sage,male,5.0,8,2,69.55,0
2,Miss. Amelia Brown,female,24.0,0,0,13.0,1
1,Mr. Benjamin Laventall Foreman,male,30.0,0,0,27.75,0
2,Mrs. Peter Henry (Lillian Jefferys) Renouf,female,30.0,3,0,21.0,1
3,Mr. Fang Lang,male,26.0,0,0,56.4958,1
3,Mr. Charles Joseph Shorney,male,22.0,0,0,8.05,0
3,Miss. Ellis Anna Maria Andersson,female,2.0,4,2,31.275,0
3,Mr. Janko Vovk,male,22.0,0,0,7.8958,0
3,Mr. Alfred Ossian Gustafsson,male,20.0,0,0,9.8458,0
2,Mr. Alfred Gaskell,male,16.0,0,0,26.0,0
3,Miss. Ida Lefebre,female,3.0,3,1,25.4667,0
3,Mr. Carl/Charles Peter Widegren,male,51.0,0,0,7.75,0
2,Mr. Joseph Charles Nicholls,male,19.0,1,1,36.75,0
3,Mr. Nils Martin Odahl,male,23.0,0,0,9.225,0
2,Mr. Charles Henry Chapman,male,52.0,0,0,13.5,0
3,Mr. Edward Arthur Dorking,male,19.0,0,0,8.05,1
1,Miss. Laura Mabel Francatelli,female,30.0,0,0,56.9292,1
2,Mrs. (Karolina) Bystrom,female,42.0,0,0,13.0,1
3,Miss. Velin Ohman,female,22.0,0,0,7.775,1
1,Mr. Victor Giglio,male,24.0,0,0,79.2,0
3,Mr. Ilmari Rudolf Alhomaki,male,20.0,0,0,7.925,0
1,Mrs. Walter Bertram (Martha Eustis) Stephenson,female,52.0,1,0,78.2667,1
1,Lady. (Lucille Christiana Sutherland)Duff Gordon,female,48.0,1,0,39.6,1
2,Dr. Alfred Pain,male,23.0,0,0,10.5,0
3,Mr. Matti Alexanteri Maenpaa,male,22.0,0,0,7.125,0
2,Rev. Ernest Courtenay Carter,male,54.0,1,0,26.0,0
1,Mrs. Frank Manley (Anna Sophia Atkinson) Warren,female,60.0,1,0,75.25,1
3,Mr. Achille Waelens,male,22.0,0,0,9.0,0
3,Miss. Katherine Gilnagh,female,16.0,0,0,7.7333,1
1,Mlle. Berthe Antonine Mayne,female,24.0,0,0,49.5042,1
3,Mr. Tannous Elias,male,15.0,1,1,7.2292,0
3,Master. Eden Leslie Coutts,male,9.0,1,1,15.9,1
3,Mr. Leon Hampe,male,20.0,0,0,9.5,0
1,Mr. Walter Donald Douglas,male,50.0,1,0,106.425,0
3,Mr. Daniel Danielsen Gronnestad,male,32.0,0,0,8.3625,0
3,Mrs. Percival (Florence Kate White) Thorneycroft,female,33.0,1,0,16.1,1
1,Col. John Weir,male,60.0,0,0,26.55,0
3,Mr. Eugene Patrick Daly,male,29.0,0,0,7.75,1
3,Mrs. Anders Johan (Alfrida Konstantia Brogren) Andersson,female,39.0,1,5,31.275,0
3,Mr. Ernst William Torber,male,44.0,0,0,8.05,0
3,Mr. Jean Baptiste Van Impe,male,36.0,1,1,24.15,0
3,Mr. Maurice Sirota,male,20.0,0,0,8.05,0
1,Mr. Peter Denis Daly,male,51.0,0,0,26.55,1
1,Mr. Charles Duane Williams,male,51.0,0,1,61.3792,0
3,Mr. Orsen Sirayanian,male,22.0,0,0,7.2292,0
3,Miss. Aloisia Haas,female,24.0,0,0,8.85,0
1,Mr. John D Baumann,male,60.0,0,0,25.925,0
1,Mr. John Farthing,male,49.0,0,0,221.7792,0
3,Mr. Johan Emil Petterson,male,25.0,1,0,7.775,0
1,Dr. William Edward Minahan,male,44.0,2,0,90.0,0
1,Mrs. Henry Birkhardt (Irene Wallach) Harris,female,35.0,1,0,83.475,1
3,Mr. Ernest Portage Tomlin,male,30.5,0,0,8.05,0
2,Mr. Sidney Samuel Jacobsohn,male,42.0,1,0,27.0,0
1,Miss. Margaret Edith Graham,female,19.0,0,0,30.0,1
3,Mr. Alfred Johnson,male,49.0,0,0,0.0,0
